 "Maximum Value" "Maximum Value" "Mean Value" "Mean Value" PercentChange PercentChange
Country Alaska Hawaai Alaska Hawaai Alaska Hawaai
Year      
1973 339.78 0.0 329.22 0.0 0.0 0.0
1974 340.21 333.64 333.78 329.55 1.39 0.0
1975 343.09 334.63 333.62 331.39 -0.05 0.56
1976 338.84 336.73 332.97 332.07 -0.19 0.21
1977 342.0 337.64 334.95 333.85 0.59 0.53
1978 343.36 338.87 337.2 335.43 0.67 0.48
1979 344.21 340.24 338.36 336.69 0.34 0.38
1980 347.27 342.38 340.42 338.83 0.61 0.63
1981 348.65 343.42 341.96 340.09 0.45 0.37
1982 351.49 345.12 343.08 341.32 0.33 0.36
1983 353.0 346.49 344.22 343.18 0.33 0.54
1984 353.37 348.33 346.41 344.74 0.64 0.46
1985 354.95 349.92 347.11 346.07 0.2 0.39
1986 355.85 351.14 349.13 347.3 0.58 0.36
1987 356.13 352.65 350.13 349.27 0.29 0.57
1988 360.54 354.92 353.47 351.58 0.95 0.66
1989 364.24 356.72 355.25 353.2 0.5 0.46
1990 363.51 358.1 356.04 354.47 0.22 0.36
1991 370.37 360.46 357.89 355.67 0.52 0.34
1992 365.16 360.63 357.87 356.43 -0.01 0.21
1993 364.73 361.14 357.53 357.16 -0.09 0.2
1994 369.61 362.74 360.4 358.91 0.8 0.49
1995 372.87 365.04 362.45 360.86 0.57 0.54
1996 371.1 366.0 364.3 362.67 0.51 0.5
1997 372.72 368.02 365.25 363.71 0.26 0.29
1998 376.4 370.63 368.04 366.7 0.76 0.82
1999 376.55 372.23 369.75 368.31 0.46 0.44
2000 379.14 373.34 371.22 369.58 0.4 0.34
2001 379.53 375.36 372.99 371.07 0.48 0.4
2002 381.25 376.58 374.54 373.29 0.42 0.6
2003 387.12 380.17 377.9 375.83 0.9 0.68
2004 385.72 381.58 378.68 377.66 0.21 0.49
2005 388.57 383.79 381.4 379.96 0.72 0.61
2006 390.53 385.68 383.63 381.89 0.58 0.51
2007 392.34 387.83 385.29 383.86 0.43 0.52
2008 396.01 390.63 388.12 385.52 0.73 0.43
2009 396.47 391.32 388.5 387.42 0.1 0.49
2010 399.17 394.02 391.21 389.84 0.7 0.62
2011 403.81 395.83 393.28 391.66 0.53 0.47
2012 403.2 397.78 395.55 393.87 0.58 0.57
2013 408.07 400.63 398.31 396.47 0.7 0.66
2014 409.08 402.71 399.83 398.71 0.38 0.57
2015 409.99 404.65 401.91 400.87 0.52 0.54
2016 412.46 409.34 404.94 404.25 0.75 0.84
